,組み合わせ,内積（平均）,内積（標準偏差）,平均（ユークリッド距離2乗）,距離2乗（標準偏差）,データ数
0,侵害受容性疼痛同士,0.20904646118686498,4.5717273274359504,24.822094530223634,13.660376641081374,331 (ペア数: 109230)
1,神経障害性疼痛同士,1.0738111249607323,5.1228253096285075,25.35417022369297,13.610872519043326,177 (ペア数: 31152)
2,不明同士,0.8830744321293315,5.365181494897927,22.97387255325724,11.944581491834171,32 (ペア数: 992)
3,侵害受容性疼痛＋神経障害性疼痛,-0.5259257053457693,4.7797287955264505,27.422841373797436,15.018815831337534,331 x 177
4,侵害受容性疼痛＋不明,0.35885699775740865,4.886697541718796,24.272390439541812,13.157828927273938,331 x 32
5,神経障害性疼痛＋不明,-0.8956326800139514,5.0474140821922235,27.91217230559307,15.947374560971717,177 x 32
