,組み合わせ,内積（平均）,内積（標準偏差）,平均（ユークリッド距離2乗）,距離2乗（標準偏差）,データ数
0,侵害受容性疼痛同士,0.2517096931852614,7.180055698444914,60.22951907863153,49.09137153557622,331 (ペア数: 109230)
1,神経障害性疼痛同士,1.3239580408460498,7.929810887760521,60.76960504977169,29.568283784489253,177 (ペア数: 31152)
2,不明同士,0.8888781588161415,8.980438051987568,63.5502476765943,50.663753628559945,32 (ペア数: 992)
3,侵害受容性疼痛＋神経障害性疼痛,-0.7038671327572786,7.401721482749,63.48296406374747,41.19960637273333,331 x 177
4,侵害受容性疼痛＋不明,0.34855670357503366,8.017564198963978,62.33335782246425,50.18480793546557,331 x 32
5,神経障害性疼痛＋不明,-0.9920423378742917,8.268671014459192,66.35684723859377,41.99039273632527,177 x 32
