,組み合わせ,内積（平均）,内積（標準偏差）,平均（ユークリッド距離2乗）,距離2乗（標準偏差）,データ数
0,侵害受容性疼痛同士,162.64083127345967,62.81300617168462,69.9570081479447,43.7729263882888,331 (ペア数: 109230)
1,神経障害性疼痛同士,215.66615305598356,64.34101075412197,65.60554699537751,37.05309499955358,177 (ペア数: 31152)
2,不明同士,138.07459677419354,66.93512506583778,72.2258064516129,49.52041591194051,32 (ペア数: 992)
3,侵害受容性疼痛＋神経障害性疼痛,186.073207366822,64.51960534205229,73.94184716746035,45.40668709440869,331 x 177
4,侵害受容性疼痛＋不明,149.70364425981873,66.58982043912673,72.39954682779457,46.92565301272608,331 x 32
5,神経障害性疼痛＋不明,170.8511652542373,70.96007214153215,80.95409604519774,52.957866982279505,177 x 32
