,組み合わせ,内積（平均）,内積（標準偏差）,平均（ユークリッド距離2乗）,距離2乗（標準偏差）,データ数
0,侵害受容性疼痛同士,0.04266323199839638,5.2162455270279695,35.407424548407896,45.10508046489796,331 (ペア数: 109230)
1,神経障害性疼痛同士,0.2501469158853178,5.492334779659572,35.41543482607872,24.111738811201693,177 (ペア数: 31152)
2,不明同士,0.00580372668680999,6.745734038120712,40.57637512333706,49.64073075935214,32 (ペア数: 992)
3,侵害受容性疼痛＋神経障害性疼痛,-0.17794142741150912,5.192777459475366,36.06012268995004,36.18502969395365,331 x 177
4,侵害受容性疼痛＋不明,-0.010300294182374947,5.940950260081686,38.06096738292243,47.89956512118252,331 x 32
5,神経障害性疼痛＋不明,-0.0964096578603404,5.9895269230674755,38.4446749330007,38.76666103823999,177 x 32
