,組み合わせ,内積（平均）,内積（標準偏差）,平均（ユークリッド距離2乗）,距離2乗（標準偏差）,データ数
0,侵害受容性疼痛同士,35.88010619793097,9.297664282851756,9.96184198480271,5.669648490932722,331 (ペア数: 109230)
1,神経障害性疼痛同士,41.611710323574734,10.337982609773073,11.40934771443246,5.768362959582731,177 (ペア数: 31152)
2,不明同士,37.16532258064516,9.796152506377174,10.169354838709678,6.74025195062918,32 (ペア数: 992)
3,侵害受容性疼痛＋神経障害性疼痛,38.61064741324867,9.823761035564512,10.95611654462594,5.906026930727468,331 x 177
4,侵害受容性疼痛＋不明,36.50793051359516,9.651926248649595,10.095166163141993,6.247870275416425,331 x 32
5,神経障害性疼痛＋不明,39.24699858757062,10.186098946811548,11.072387005649718,6.253393447796044,177 x 32
