,組み合わせ,内積（平均）,内積（標準偏差）,平均（ユークリッド距離2乗）,距離2乗（標準偏差）,データ数
0,侵害受容性疼痛同士,126.7607250755287,59.99053865945222,59.995166163141995,42.65640369761967,331 (ペア数: 109230)
1,神経障害性疼痛同士,174.05444273240883,60.43016798254618,54.196199280945045,35.70688719930847,177 (ペア数: 31152)
2,不明同士,100.90927419354838,63.17077017349017,62.056451612903224,48.345330764860705,32 (ペア数: 992)
3,侵害受容性疼痛＋神経障害性疼痛,147.4625599535733,61.206700374845234,62.98573062283442,44.03882759944923,331 x 177
4,侵害受容性疼痛＋不明,113.19571374622356,63.17238416710363,62.30438066465257,45.86249302325667,331 x 32
5,神経障害性疼痛＋不明,131.60416666666666,67.03080619994087,69.88170903954803,51.78840919025912,177 x 32
