,Weight
PCA1,0.81
PCA2,0.46
PCA3,0.9
PCA4,0.63
PCA5,1.17
PCA6,0.63
PCA7,0.77
PCA8,0.74
PCA9,1.95
PCA10,1.56
PCA11,1.48
PCA12,1.31
PCA13,0.41
PCA14,0.39
PCA15,1.01
PCA16,1.96
PCA17,0.44
PCA18,1.38
