,Weight
P1,2.78
P2,1.68
P3,0.47
P4,1.17
P5,0.58
P6,1.25
P7,1.25
P8,0.31
P9,0.47
P10,0.88
P11,1.25
P12,1.05
P13,0.39
D1,0.44
D2,1.23
D3,0.47
D4,2.58
D5,0.98
D6,2.16
D7,1.18
D8,0.82
D9,0.65
D10,0.77
D11,0.52
D12,0.31
D13,1.17
D14,0.54
D15,1.34
D16,0.26
D17,1.82
D18,0.24
