,Weight
D1,0.22
D2,1.05
D3,0.77
D4,1.95
D5,0.49
D6,0.4
D7,0.22
D8,2.81
D9,1.21
D10,0.7
D11,0.66
D12,0.62
D13,2.16
D14,0.6
D15,1.46
D16,1.1
D17,1
D18,0.57
