,組み合わせ,内積（平均）,内積（標準偏差）,平均（ユークリッド距離2乗）,距離2乗（標準偏差）,データ数
0,侵害受容性疼痛同士,0.19914084747951039,4.443836276534595,19.66320650800901,12.846326035888563,331 (ペア数: 109230)
1,神経障害性疼痛同士,1.0449300783832227,4.997574138275888,20.09453485001635,13.138961260889714,177 (ペア数: 31152)
2,不明同士,0.7612281130621982,5.312531945733605,19.2053703503456,11.168225657335096,32 (ペア数: 992)
3,侵害受容性疼痛＋神経障害性疼痛,-0.4992620232670332,4.667569770155798,22.121465651409476,14.447332683314844,331 x 177
4,侵害受容性疼痛＋不明,0.394442323391951,4.799771231488825,19.605772742935113,12.414632351603595,331 x 32
5,神経障害性疼痛＋不明,-0.9295050499203328,4.930645241918187,23.315120891467064,15.605753562836213,177 x 32
