,組み合わせ,内積（平均）,内積（標準偏差）,平均（ユークリッド距離2乗）,距離2乗（標準偏差）,データ数
0,侵害受容性疼痛同士,0.25250057711351775,7.0664250048458745,49.357320145939894,45.916804609047674,331 (ペア数: 109230)
1,神経障害性疼痛同士,1.3164637540800956,7.788746713303575,48.64133877141913,27.31599969039456,177 (ペア数: 31152)
2,不明同士,0.8371347801614177,9.006592902862973,53.69637893456382,48.390825677246575,32 (ペア数: 992)
3,侵害受容性疼痛＋神経障害性疼痛,-0.6798840661605372,7.2730575293432045,51.928061922194196,38.52539186429975,331 x 177
4,侵害受容性疼痛＋不明,0.37759776915221127,7.933235471691286,51.86128935922237,47.26769986942405,331 x 32
5,神経障害性疼痛＋不明,-1.0091602487108993,8.118542740035393,55.340777884654784,39.85352318597247,177 x 32
