,組み合わせ,内積（平均）,内積（標準偏差）,平均（ユークリッド距離2乗）,距離2乗（標準偏差）,データ数
0,侵害受容性疼痛同士,0.04894208434827256,5.117103061841392,29.066140763383824,41.270641175395575,331 (ペア数: 109230)
1,神経障害性疼痛同士,0.2581898255368956,5.3072498273614235,27.63219634628348,21.133720488508143,177 (ペア数: 31152)
2,不明同士,0.03508352147659535,6.770020217792676,34.86923660239522,46.99391326252174,32 (ペア数: 992)
3,侵害受容性疼痛＋神経障害性疼痛,-0.17165100712514933,5.060582330415744,28.999602478969123,32.75070676868735,331 x 177
4,侵害受容性疼痛＋不明,-0.010958501244334319,5.886265861964898,32.073631291203064,44.62989890091306,331 x 32
5,神経障害性疼痛＋不明,-0.08435043546087002,5.847714945727064,31.71269069227458,36.09773690492071,177 x 32
