,kernel,gamma,degree,coef0,C,score,weights,score(%)
3,rbf,0.014,,,1,0.725925925925926,"0.9,0.74,1.02,1.04,1.14,0.95,0.64,0.93,0.84,1.09,1.21,0.93,1.14,1.11,1.04,0.77,0.86,1.17,1.32,1.11,0.77,1.62,0.97,0.88,0.51,1.21,1.2,1.13,1.14,0.85,0.76",72.59%
0,rbf,0.01,,,1,0.7222222222222223,"0.85,1,0.96,0.99,1.01,0.89,0.99,1.01,1.22,0.98,0.99,0.99,0.99,0.99,0.99,1.28,0.83,1.05,1.14,1.06,0.99,0.99,0.98,1.08,0.98,0.98,0.87,0.98,0.97,0.99,0.99",72.22%
5,rbf,0.03,,,1,0.7166666666666667,"0.84,0.86,1.39,1.23,0.93,1.12,0.84,1.18,0.59,1,0.81,2.35,1.33,0.6,1.15,1.06,0.64,1.22,0.59,1.33,0.71,0.99,1.12,0.91,0.95,0.75,1.11,0.98,0.96,0.72,0.75",71.67%
2,rbf,0.01,,,0.1,0.6685185185185185,"2,0.96,1.9,0.61,1.41,2.53,0.25,0.59,2.97,0.64,0.58,2.97,0.33,0.86,0.52,1.03,1.92,1.2,0.37,0.27,1.05,0.28,0.81,0.77,0.98,0.39,0.27,0.54,0.63,0.69,0.69",66.85%
1,rbf,0.014,,,0.1,0.624074074074074,"0.97,1.21,1.63,0.54,0.88,0.67,0.73,1.2,0.86,0.89,0.74,1.25,0.77,1,0.94,0.98,0.85,1.22,1.15,0.78,0.93,1.46,0.78,0.74,1.13,0.62,1.32,0.45,0.84,2.36,1.09",62.41%
4,rbf,0.03,,,0.1,0.6148148148148148,"0.8,1.72,1.43,0.43,1.51,2.07,0.12,0.43,2.81,1.66,0.55,2.25,0.53,1.41,0.3,1.18,1.94,0.57,0.21,0.17,1,0.23,0.72,0.54,1.4,0.38,0.52,0.56,1.88,0.63,1.04",61.48%
