,kernel,gamma,degree,coef0,C,score,weights,score(%)
1,rbf,0.01,,,1,0.7296296296296296,"0.97,0.75,0.76,1.28,1.06,0.64,0.98,1.25,0.49,0.57,1.03,1.13,1.23,0.91,1.12,1.52,1.56,1.03,1.28,0.68,1.02,1.19,1.35,0.59,0.73,1.04,1.11,1.01,1.32,0.67,0.76",72.96%
3,rbf,0.016,,,1,0.7222222222222222,"0.73,0.88,0.94,1.29,1.1,0.83,1,0.96,0.82,0.96,0.98,0.99,0.94,0.88,0.96,1.15,1.16,1.1,1,1.02,1.08,1.13,1.08,1.06,0.97,0.88,1.11,0.82,1.21,0.98,1",72.22%
4,rbf,0.04,,,1,0.7222222222222222,"1.19,0.44,0.35,1.66,0.74,0.21,0.37,0.87,0.5,0.55,1.47,2.05,0.52,1.08,1.49,0.15,0.83,0.25,2.39,2.02,0.48,0.61,0.54,0.14,1.32,0.41,1.96,2.29,1.35,2.18,0.57",72.22%
0,rbf,0.01,,,0.1,0.6222222222222222,"2.02,1.75,1.21,0.62,0.87,1.41,0.1,0.5,2.69,2.03,0.49,2.34,0.72,1.25,0.28,1.55,1.84,0.56,0.18,0.21,1.02,0.38,0.8,0.84,0.76,0.26,0.41,0.37,2.07,0.8,0.67",62.22%
2,rbf,0.016,,,0.1,0.6222222222222222,"1.92,1.74,1.15,0.55,0.86,1.58,0.12,0.46,2.85,1.44,0.55,2.15,0.82,1.17,0.32,1.45,1.85,0.56,0.2,0.26,1.25,0.35,0.73,0.73,0.91,0.36,0.45,0.37,2.26,0.82,0.76",62.22%
5,rbf,0.04,,,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
