,Weight
P1,0.97
P2,0.75
P3,0.76
P4,1.28
P5,1.06
P6,0.64
P7,0.98
P8,1.25
P9,0.49
P10,0.57
P11,1.03
P12,1.13
P13,1.23
D1,0.91
D2,1.12
D3,1.52
D4,1.56
D5,1.03
D6,1.28
D7,0.68
D8,1.02
D9,1.19
D10,1.35
D11,0.59
D12,0.73
D13,1.04
D14,1.11
D15,1.01
D16,1.32
D17,0.67
D18,0.76
