,kernel,gamma,degree,coef0,C,score,weights,score(%)
5,rbf,0.2,,,1,0.6388888888888888,"0.92,1,1.02,1.02,1.18,1.03,1.02,1,1.02,1.1,0.96,1.01,0.95,0.9,0.84,1.06,0.87,1.11",63.89%
2,rbf,0.1,,,1,0.6351851851851851,"0.89,1.01,1.03,1.02,1.2,1.02,1.01,0.99,0.99,1.16,0.99,1.07,1,0.89,0.87,1.01,0.87,0.98",63.52%
1,rbf,0.1,,,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
0,rbf,0.01,,,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
3,rbf,0.01,,,1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
4,rbf,0.2,,,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
