,Weight
D1,0.92
D2,1
D3,1.02
D4,1.02
D5,1.18
D6,1.03
D7,1.02
D8,1
D9,1.02
D10,1.1
D11,0.96
D12,1.01
D13,0.95
D14,0.9
D15,0.84
D16,1.06
D17,0.87
D18,1.11
