,Weight
D1,0.62
D2,0.22
D3,2.68
D4,0.77
D5,0.56
D6,0.29
D7,0.5
D8,1.14
D9,1.27
D10,0.24
D11,2.17
D12,0.72
D13,0.97
D14,0.28
D15,2.17
D16,1.37
D17,1.12
D18,0.88
