,Weight
PCA1,0.8
PCA2,0.48
PCA3,0.86
PCA4,1.54
PCA5,0.52
PCA6,1.23
PCA7,0.87
PCA8,2.72
PCA9,0.31
PCA10,1.42
PCA11,0.26
