,kernel,gamma,degree,coef0,C,score,weights,score(%)
5,rbf,0.08,,,1,0.7259259259259261,"0.81,1.19,2.05,1.58,0.58,0.51,0.27",72.59%
3,rbf,0.02,,,1,0.7185185185185186,"2.17,0.2,0.79,2.13,0.42,0.22,1.08",71.85%
2,rbf,0.05,,,1,0.711111111111111,"0.22,1.12,0.99,0.79,1.26,1.2,1.43",71.11%
1,rbf,0.05,,,0.1,0.7055555555555555,"0.86,0.78,0.75,2.21,0.72,0.48,1.19",70.56%
4,rbf,0.08,,,0.1,0.6481481481481481,"0.97,0.67,0.92,1.39,0.92,1.19,0.94",64.81%
0,rbf,0.02,,,0.1,0.6333333333333334,"1.63,1.05,0.97,1.32,0.39,0.7,0.93",63.33%
