,Weight
P1,0.9
P2,0.74
P3,1.02
P4,1.04
P5,1.14
P6,0.95
P7,0.64
P8,0.93
P9,0.84
P10,1.09
P11,1.21
P12,0.93
P13,1.14
D1,1.11
D2,1.04
D3,0.77
D4,0.86
D5,1.17
D6,1.32
D7,1.11
D8,0.77
D9,1.62
D10,0.97
D11,0.88
D12,0.51
D13,1.21
D14,1.2
D15,1.13
D16,1.14
D17,0.85
D18,0.76
