,kernel,gamma,degree,coef0,C,score,weights,score(%)
3,rbf,0.03,,,1,0.6314814814814815,"0.8,0.48,0.86,1.54,0.52,1.23,0.87,2.72,0.31,1.42,0.26",63.15%
2,rbf,0.01,,,1,0.6296296296296297,"1,0.85,1.12,0.99,1.02,0.85,1.01,1.05,0.94,1.15,1",62.96%
5,rbf,0.05,,,1,0.625925925925926,"2.06,0.69,1.72,0.53,0.92,0.73,0.85,1.02,0.33,0.98,1.15",62.59%
0,rbf,0.01,,,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1",61.30%
1,rbf,0.03,,,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1",61.30%
4,rbf,0.05,,,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1",61.30%
