,kernel,gamma,degree,coef0,C,score,weights,score(%)
1,rbf,0.04,,,1,0.7240740740740741,"0.85,1.58,1.68,1.04,0.93,1.18,1.05,1,1.39,0.38,0.38,1.24,0.31",72.41%
3,rbf,0.01,,,1,0.7222222222222222,"0.45,2.68,0.17,0.52,1.45,0.75,0.81,1.73,0.53,0.42,0.63,0.97,1.9",72.22%
5,rbf,0.1,,,1,0.7185185185185186,"1.49,0.32,1.66,0.98,0.46,1.01,0.75,0.86,0.82,1.27,0.75,1.48,1.15",71.85%
2,rbf,0.04,,,0.1,0.6796296296296296,"0.32,0.9,0.72,1.51,2.33,2.05,0.16,0.28,1.06,0.69,0.43,1.96,0.6",67.96%
0,rbf,0.01,,,0.1,0.6407407407407407,"0.67,0.68,1.01,1.22,0.93,0.8,1.24,1.05,0.85,1.11,0.82,1.87,0.73",64.07%
4,rbf,0.1,,,0.1,0.6148148148148149,"1,1,1,1,1,1,1,1,1,1,1,1,1",61.48%
