,Weight
PCA1,1.02
PCA2,0.98
PCA3,0.99
PCA4,1
PCA5,1
PCA6,1.05
PCA7,1.03
PCA8,1.03
PCA9,1.01
PCA10,0.97
PCA11,0.98
PCA12,0.99
PCA13,0.99
PCA14,1.03
PCA15,1
PCA16,1.03
PCA17,0.98
PCA18,0.98
