,kernel,gamma,degree,coef0,C,score,weights,score(%)
5,rbf,0.05,,,1,0.7203703703703703,"1.77,0.35,1.29,1.03,0.44,0.85,0.82,0.91,0.71,0.96,0.71,2.11,1.04",72.04%
3,rbf,0.01,,,1,0.7203703703703703,"0.91,1.1,1.03,0.81,1.03,1.11,1.16,0.94,0.98,0.85,0.97,1.11,1.01",72.04%
1,rbf,0.016,,,1,0.7148148148148149,"1,0.98,0.86,0.86,0.99,1.47,0.86,0.96,0.94,0.86,0.87,1.39,0.96",71.48%
2,rbf,0.016,,,0.1,0.6481481481481481,"0.58,0.67,1.24,1.06,1.18,0.73,0.82,1.1,1.58,0.9,0.94,1.29,0.9",64.81%
0,rbf,0.01,,,0.1,0.6296296296296297,"0.58,0.95,0.93,0.9,1.41,1.37,0.53,2.3,2.25,0.51,0.29,0.68,0.32",62.96%
4,rbf,0.05,,,0.1,0.6222222222222222,"0.7,0.72,0.99,0.84,1,1.38,0.95,2.25,0.97,0.62,0.8,1.31,0.48",62.22%
