,kernel,gamma,degree,coef0,C,score,weights,score(%)
1,rbf,0.01,,,1,0.7185185185185186,"1.02,0.98,0.99,1,1,1.05,1.03,1.03,1.01,0.97,0.98,0.99,0.99,1.03,1,1.03,0.98,0.98",71.85%
3,rbf,0.02,,,1,0.7055555555555555,"0.82,1.01,1.26,1.08,1.13,0.94,1.05,0.96,1.04,0.84,1.06,0.91,1.22,0.86,0.97,0.84,0.94,1.06",70.56%
5,rbf,0.1,,,1,0.6851851851851852,"0.94,1.16,1.1,0.93,1.34,1.36,1.02,0.76,1.3,0.58,1.09,0.6,0.82,0.9,0.94,0.85,1.15,1.15",68.52%
0,rbf,0.01,,,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
2,rbf,0.02,,,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
4,rbf,0.1,,,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
