,kernel,gamma,degree,coef0,C,score,weights,score(%)
5,rbf,0.1,,,1,0.6574074074074073,"0.62,0.22,2.68,0.77,0.56,0.29,0.5,1.14,1.27,0.24,2.17,0.72,0.97,0.28,2.17,1.37,1.12,0.88",65.74%
3,rbf,0.027,,,1,0.6462962962962963,"0.81,0.78,1.09,0.73,1.24,0.7,1.09,0.98,2.09,0.92,1.2,1.08,0.95,0.62,1.05,1.04,1.12,0.51",64.63%
2,rbf,0.01,,,1,0.6314814814814815,"1.02,1.02,1.02,1.02,1.03,1.03,1.01,1.01,1.04,1.02,1.01,0.87,1.01,1.02,0.87,1.03,1.02,1.03",63.15%
0,rbf,0.01,,,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
1,rbf,0.027,,,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
4,rbf,0.1,,,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
