,kernel,gamma,degree,coef0,C,score,weights,score(%)
3,sigmoid,10,,0,0.1,0.6351851851851852,"0.57,1,1.02,2.45,2.85,0.75,0.77,0.78,0.24,0.1,0.46",63.52%
2,sigmoid,40,,0,0.1,0.6333333333333334,"0.2,0.83,0.31,0.59,2.48,0.33,0.71,0.67,0.67,1.49,2.74",63.33%
0,sigmoid,40,,0,1,0.6222222222222221,"0.61,0.92,0.75,1.91,2.36,0.57,1.13,0.63,0.79,0.98,0.33",62.22%
4,sigmoid,80,,0,0.1,0.6111111111111112,"2.23,1.13,0.17,1.47,0.79,0.37,0.12,1.03,0.99,0.48,2.21",61.11%
1,sigmoid,10,,0,1,0.611111111111111,"0.68,0.47,0.5,1.44,0.84,1.35,1.35,2.72,0.32,0.87,0.46",61.11%
5,sigmoid,80,,0,1,0.5944444444444444,"0.65,1.78,1.55,0.15,0.94,0.36,0.59,1.86,0.58,1.93,0.62",59.44%
