,Weight
P1,0.98
P2,1.31
P3,1.09
P4,0.98
P5,1.08
P6,0.4
P7,0.9
P8,1.19
P9,1.21
P10,0.74
P11,1.1
P12,1.1
P13,1.04
D1,1.16
D2,1.3
D3,1.08
D4,0.86
D5,1.09
D6,1.31
D7,0.66
D8,0.86
D9,1.39
D10,0.92
D11,0.43
D12,0.73
D13,1.08
D14,1.09
D15,0.75
D16,1.22
D17,0.69
D18,1.27
