,Weight
P1,0.76
P2,0.66
P3,0.84
P4,0.83
P5,0.46
P6,1.52
P7,1.37
P8,0.89
P9,1.47
P10,0.74
P11,1.02
P12,1.38
P13,0.52
D1,2.59
D2,0.95
D3,0.68
D4,0.51
D5,1.24
D6,1.48
D7,0.74
D8,0.41
D9,1.5
D10,0.94
D11,0.75
D12,0.64
D13,0.91
D14,0.15
D15,2.02
D16,0.26
D17,0.87
D18,1.91
