,Weight
D1,1.61
D2,0.6
D3,1.07
D4,1.29
D5,1
D6,0.8
D7,1.06
D8,0.36
D9,2.27
D10,1.35
D11,0.42
D12,1.09
D13,0.54
D14,0.52
D15,0.58
D16,0.45
D17,0.9
D18,2.1
