,Weight
D1,2.28
D2,0.65
D3,0.9
D4,0.59
D5,1.52
D6,0.37
D7,0.95
D8,0.82
D9,0.56
D10,0.24
D11,1.52
D12,0.65
D13,0.83
D14,1.53
D15,0.95
D16,0.57
D17,2.41
D18,0.67
