,kernel,gamma,degree,coef0,C,score,weights,score(%)
1,sigmoid,0.004,,0,1,0.7166666666666666,"0.83,0.94,0.93,0.78,0.77,1.04,1.36,0.99,1.08,0.68,1.03,1.58,1.01",71.67%
4,sigmoid,0.008,,0,1,0.6925925925925926,"0.47,0.64,0.88,0.56,1.13,2.12,0.54,1.85,0.65,0.68,0.54,1.36,1.58",69.26%
5,sigmoid,0.008,,0,0.1,0.6148148148148149,"0.83,1.17,1.45,0.44,1.07,0.5,1.37,0.67,1.29,0.62,0.9,1.69,1",61.48%
2,sigmoid,0.001,,0,1,0.6148148148148148,"0.99,0.99,1.03,1.12,0.96,0.98,0.85,1,0.95,1.11,0.86,1.15,0.99",61.48%
0,sigmoid,0.001,,0,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
3,sigmoid,0.004,,0,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
