,kernel,gamma,degree,coef0,C,score,weights,score(%)
3,sigmoid,3,,0,0.1,0.6833333333333333,"0.85,0.66,0.97,0.61,0.51,1.53,1.88",68.33%
5,sigmoid,6.25,,0,0.1,0.6777777777777777,"1.24,0.86,1.08,1.4,0.68,0.73,1",67.78%
0,sigmoid,5,,0,1,0.6555555555555557,"0.66,0.79,1.06,1.18,1.15,1.38,0.78",65.56%
4,sigmoid,6.25,,0,1,0.6518518518518518,"0.68,0.66,1.02,1.3,1.01,1.5,0.83",65.19%
2,sigmoid,5,,0,0.1,0.6462962962962964,"0.56,0.91,1.32,1.04,0.91,1.36,0.9",64.63%
1,sigmoid,3,,0,1,0.6333333333333334,"1.24,0.62,2.53,1.1,0.39,0.25,0.87",63.33%
