,kernel,gamma,degree,coef0,C,score,weights,score(%)
0,sigmoid,3,,0,1,0.6537037037037037,"0.83,0.53,1.31,1.62,0.62,0.6,1.14,0.76,1.38,1.16,1.15,1.35,0.54",65.37%
4,sigmoid,5.5,,0,0.1,0.6796296296296297,"0.96,1.18,0.94,0.99,1.04,1.01,0.98,1.01,1,1.03,0.87,0.99,1",67.96%
1,sigmoid,1,,0,1,0.6444444444444444,"1.02,1.1,0.97,0.98,1,0.97,0.97,0.96,0.97,1.13,0.96,0.98,0.97",64.44%
2,sigmoid,3,,0,0.1,0.6685185185185185,"1.02,1.12,0.98,0.97,0.99,0.98,0.97,0.97,0.97,1.11,0.97,0.97,0.97",66.85%
3,sigmoid,1,,0,0.1,0.6888888888888889,"1.05,0.91,0.99,0.99,1.03,0.99,0.99,1,0.98,1.11,0.99,0.99,0.99",68.89%
5,sigmoid,5.5,,0,1,0.6462962962962964,"1.15,1.05,1,0.92,1.09,1.06,0.89,0.93,0.84,1.22,0.99,0.9,0.96",64.63%
