,kernel,gamma,degree,coef0,C,score,weights,score(%)
4,sigmoid,0.006,,0,1,0.6722222222222222,"0.76,0.66,0.84,0.83,0.46,1.52,1.37,0.89,1.47,0.74,1.02,1.38,0.52,2.59,0.95,0.68,0.51,1.24,1.48,0.74,0.41,1.5,0.94,0.75,0.64,0.91,0.15,2.02,0.26,0.87,1.91",67.22%
2,sigmoid,0.003,,0,1,0.6685185185185185,"0.71,0.82,0.84,1.05,1.05,1.01,0.95,1.03,1.22,1.1,0.98,1.12,0.8,1.09,1.12,1.34,0.64,1.32,1.11,0.95,1.16,1.29,0.75,1.19,0.97,0.8,0.71,0.91,0.92,0.95,1.11",66.85%
1,sigmoid,0.001,,0,1,0.6277777777777778,"2.96,0.88,2.2,0.65,0.54,1.89,0.53,0.66,1.99,1.07,0.81,0.8,0.74,2.03,0.59,0.97,0.78,0.43,0.6,0.26,1.28,0.8,1.01,1.31,1.26,0.7,0.33,0.37,1.39,0.72,0.48",62.78%
0,sigmoid,0.001,,0,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
3,sigmoid,0.003,,0,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
5,sigmoid,0.006,,0,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
