,Weight
PCA1,0.9
PCA2,0.59
PCA3,0.78
PCA4,1.11
PCA5,0.76
PCA6,1.14
PCA7,1.05
PCA8,0.99
PCA9,1.15
PCA10,1.42
PCA11,1.09
PCA12,0.46
PCA13,0.78
PCA14,0.98
PCA15,0.55
PCA16,1.02
PCA17,1.68
PCA18,1.52
