,Weight
PCA1,0.57
PCA2,1
PCA3,1.02
PCA4,2.45
PCA5,2.85
PCA6,0.75
PCA7,0.77
PCA8,0.78
PCA9,0.24
PCA10,0.1
PCA11,0.46
