,kernel,gamma,degree,coef0,C,score,weights,score(%)
5,sigmoid,5.5,,0,0.1,0.711111111111111,"0.9,0.59,0.78,1.11,0.76,1.14,1.05,0.99,1.15,1.42,1.09,0.46,0.78,0.98,0.55,1.02,1.68,1.52",71.11%
2,sigmoid,3,,0,0.1,0.6833333333333333,"0.96,0.87,1,1.01,1.15,1,1,0.88,1.04,1,1.01,1.1,1.08,0.99,0.95,1,1,1",68.33%
4,sigmoid,5.5,,0,1,0.6796296296296298,"0.76,1.2,1.05,0.32,0.43,0.44,2.94,1.57,0.46,0.71,0.82,0.79,1.92,0.94,1.01,0.61,1.15,0.88",67.96%
3,sigmoid,1,,0,0.1,0.6648148148148149,"1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1",66.48%
0,sigmoid,3,,0,1,0.6574074074074074,"1.06,0.61,1.24,1.21,1.15,0.94,1.4,1.01,1.06,1.01,0.84,0.8,1.32,0.91,1.02,0.66,1.1,0.65",65.74%
1,sigmoid,1,,0,1,0.6407407407407407,"1.05,0.95,1.15,1.15,1.01,1,1.04,0.98,1,0.99,1,0.79,0.96,1.15,0.99,0.98,0.96,0.87",64.07%
