,kernel,gamma,degree,coef0,C,score,weights,score(%)
5,sigmoid,500,,0,0.1,0.6296296296296295,"2.28,0.65,0.9,0.59,1.52,0.37,0.95,0.82,0.56,0.24,1.52,0.65,0.83,1.53,0.95,0.57,2.41,0.67",62.96%
2,sigmoid,250,,0,0.1,0.625925925925926,"0.51,0.23,1.58,0.31,0.21,0.87,0.71,0.32,0.28,0.51,2.88,1.88,2.81,1.63,0.75,0.16,0.52,1.83",62.59%
1,sigmoid,50,,0,1,0.6018518518518519,"1.52,1.15,1.12,0.52,1.05,0.84,1.34,1.05,0.69,1.14,0.56,0.78,1.47,1.48,0.6,0.87,0.75,1.08",60.19%
3,sigmoid,50,,0,0.1,0.6,"1.41,1,1.91,0.73,1.25,1.15,1.49,1.29,0.55,1.13,1.2,0.59,0.64,0.69,0.45,0.73,0.66,1.14",60.00%
0,sigmoid,250,,0,1,0.5944444444444443,"1.67,0.75,0.95,1.87,0.65,0.85,2.99,0.51,1.06,0.43,0.32,0.54,1.63,0.82,0.38,0.28,2.11,0.2",59.44%
4,sigmoid,500,,0,1,0.5944444444444443,"0.83,0.77,1.09,0.56,0.71,1.87,0.97,0.81,1.65,0.95,0.73,1.29,0.82,1.2,1.04,0.3,0.89,1.49",59.44%
