,kernel,gamma,degree,coef0,C,score,weights,score(%)
5,sigmoid,5.5,,0,0.1,0.7314814814814815,"0.98,1.31,1.09,0.98,1.08,0.4,0.9,1.19,1.21,0.74,1.1,1.1,1.04,1.16,1.3,1.08,0.86,1.09,1.31,0.66,0.86,1.39,0.92,0.43,0.73,1.08,1.09,0.75,1.22,0.69,1.27",73.15%
2,sigmoid,3,,0,0.1,0.7166666666666666,"1.05,0.54,0.88,1.21,0.82,0.92,0.91,1.14,1.47,1.41,0.72,1.04,1.41,1.06,0.61,0.65,0.9,0.64,0.73,1.42,1.06,1.4,0.83,1.08,1.21,0.97,1.1,0.66,1.26,1.27,0.64",71.67%
3,sigmoid,1,,0,0.1,0.7148148148148148,"0.74,1.76,0.98,1.14,1.09,0.84,1.25,0.64,0.77,1.13,1.18,1.39,1.05,0.99,1.41,1.01,0.81,0.6,1.01,0.83,0.93,0.9,0.59,1.48,0.96,0.6,1.5,0.58,0.7,1.04,1.09",71.48%
0,sigmoid,3,,0,1,0.6611111111111111,"0.94,0.92,0.76,1,1,1,1,1,0.99,1.02,1.09,1,0.99,0.96,1,1.16,1.1,1,1.07,1,0.97,1,1,1.03,0.89,1,1.02,1.01,1.06,1.06,1",66.11%
4,sigmoid,5.5,,0,1,0.65,"0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.08,0.99,1,0.99,0.99,0.99,0.99,1.11,0.99,0.98,1.06,1,0.99,0.99,0.99,1.02,0.99,0.99,0.99,0.99,0.99,0.98,0.99",65.00%
1,sigmoid,1,,0,1,0.6370370370370371,"0.96,0.97,1.12,1.04,1,1,1,1,1,1,0.99,1.09,1,0.9,1,1,1,1,0.93,1,1.04,1,1,1,0.88,1,0.91,0.96,1.01,1.15,0.98",63.70%
