,kernel,gamma,degree,coef0,C,score,weights,score(%)
2,sigmoid,0.02,,0,1,0.6166666666666667,"1.61,0.6,1.07,1.29,1,0.8,1.06,0.36,2.27,1.35,0.42,1.09,0.54,0.52,0.58,0.45,0.9,2.1",61.67%
5,sigmoid,0.025,,0,1,0.6148148148148148,"1.21,0.49,1.38,2.19,1,1.62,0.62,0.71,0.5,1.05,0.7,0.53,0.71,1.45,0.81,0.39,1.31,1.31",61.48%
1,sigmoid,0.02,,0,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
0,sigmoid,0.01,,0,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
3,sigmoid,0.01,,0,1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
4,sigmoid,0.025,,0,0.1,0.6129629629629629,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",61.30%
